Textbook,Page No.,text,link
Aerosols_and_Climate.pdf,374,"Measurements of ambient aerosol
properties
James Allana and Duncan Watson-Parrisb
Department of Earth and Environmental Sciences and National Centre for Atmospheric Science,
University of Manchester, Manchester, United Kingdoma
Atmospheric, Oceanic and Planetary Physics, University of Oxford, Oxford, United Kingdomb
Summary. Many climate-relevant particle properties can only be measured reliably “in situ”—that is,
directly in the atmosphere. Such measured particle properties provide an essential constraint on remote
sensing observations and on model simulations. This chapter describes the wide range of instruments
that are used to measure particle microphysical and optical properties and how such measurements are
used to evaluate models.
The small size and low fractional contribution of aerosol particles to atmospheric material present
several substantial technical challenges. A large suite of instruments is often required to characterize
the multiple properties of atmospheric particles of relevance to climate, including physical properties
(size and particle mass and number concentrations), chemical composition, optical properties, and the
interaction of particles with water vapor to form hazes, cloud droplets, and ice particles. Many instruments are available, each employing different technologies with different practical considerations.
Some complex, labor-intensive measurements are better suited to “intensive” short-term measurements, while more autonomous instruments are suited to long-term monitoring.
Instruments have been deployed on a variety of platforms including ground stations, ships, and aircraft. Special attention must be paid to the design of the installation to minimize (or at least characterize) the losses of particles within the atmospheric inlet and the intervening line between the inlet and
the instrument. Special consideration must be paid to the line material, its geometry (bore and bends),
flow rate, and any splits or subsamples, relevant to the particle sizes of interest. Standardized methods
of dealing with these challenges are specified by programs such as the Global Atmosphere Watch
(GAW). Deployments of instruments on aircraft and ships present their own technical challenges related to the motion of the platform.
After measurements have been made, the data must be carefully and systematically processed to
ensure consistency, reliability, and ease of access. This includes providing data in the form of a usable
file type and with the appropriate metadata before submission to a database for distribution and
archiving. A few publicly accessible databases exist that collect long-term, in situ aerosol data from
around the world relevant for climate science including Global Atmosphere Watch (GAW), Interagency Monitoring of Protected Visual Environments (IMPROVE), Aerosols, Clouds and Trace gases
Research InfraStructure Network (ACTRIS), In-service Aircraft for a Global Observing System
(IAGOS), and the Global Aerosol Synthesis and Science Project (GASSP). Each of these includes a
defined protocol for the methods of data collection, processing, quality assurance, and archiving.
Copyright # 2022 Elsevier Inc. All rights reserved.",https://drive.google.com/link/to/Aerosols_and_Climate.pdf
Aerosols_and_Climate.pdf,375,"Chapter 9 Measurements of ambient aerosol properties
There are several important considerations in the comparison of in situ aerosol measurements
against models. Special care must be taken to define the units, whether “ambient” or “standard” volume
metrics are being used for mass and number concentrations, and the different definitions of particle
diameters, namely volume-equivalent, mobility, and aerodynamic diameters. These are properties
of the specific instrument used not only to perform the measurement but also to dictate the nature
of their impacts on atmospheric processes and climate. A significant challenge is that many in situ measurements are spatially and temporally discrete and particular care must be taken to ensure that this
does not bias any measurement-model comparison.
Large databases of many measurements in different locations and different times can provide a
valuable constraint on models. Several case studies of measurement-model comparison are presented
as examples of how in situ measurements have helped to improve models.
9.1 Measurement principles and instruments
While not offering the most extensive coverage of global atmospheric composition, in situ measurements provide unparalleled accuracy and intensity of measurement, albeit at a specific location and
time. In situ measurements are particularly valuable for aerosol because many important particle properties cannot be measured using remote sensing techniques (Chapter 10). In situ measurements are
technically challenging, not only because atmospheric particles are very small and carry little mass
but also because there are a very large number of climate-relevant properties. Many varied technologies
have been applied to this task (Hidy, 2019; Kreidenweis et al., 2019). Here, we summarize the properties measured and instruments used, along with best practice. For further reading regarding the fundamental principles of measurement, the reader is directed to Kulkarni et al. (2011) and Hinds (1999).
In Box 9.1, we provide a brief history of in situ aerosol measurements.
9.1.1 Units and particle diameter definitions
Before discussing the specific measurements, it is important to define the units and conventions normally used in the measurement and reporting of aerosol particles. Formalized conventions exist
(Section 9.3.1), although not all aerosol datasets conform, so this section covers the informal conventions used by the measurement community.
9.1.1.1 Concentration units
Particle concentration normally refers to the number of particles per unit volume of air (with units per
cubic centimeter, cm3) or the mass of a particular constituent per unit volume of air (in micrograms
per cubic meter, μg m3).
A key consideration when reporting or interpreting these quantities is the volume metric being
reported; often these will be referred to as “ambient” or “standard” concentrations. Ambient concentrations are those reported under the atmospheric conditions of temperature and pressure (hence air
density) of the measurement, whereas standard concentrations are adjusted to what would be measured
at standard temperature and pressure (STP), accounting for expansion, compression, heating, or cooling as necessary. The IUPAC preferred values are 273.15 K and 105 Pa (Calvert, 1990); however, other",https://drive.google.com/link/to/Aerosols_and_Climate.pdf
Aerosols_and_Climate.pdf,376,"9.1 Measurement principles and instruments
BOX 9.1 History of in situ aerosol measurements
The first in situ measurements of atmospheric aerosol relevant to climate were made by Aitken in the late nineteenth century
(Aitken, 1888). His “condensation nucleus” counters used a rapid expansion to rapidly cool an air sample, causing particles
to form droplets that were countable optically. This formed the basis of modern condensation particle counters (McMurry,
2000b), and this innovation allowed new and important insights into the behavior of atmospheric aerosols and pollution
(Landsberg, 1934), the nature of cloud formation (Wilson and Thomson, 1897), and the presence of aerosol in the stratosphere ( Junge et al., 1961). Atmospheric particles with diameters around 50–100 nm are still referred to as the Aitken mode.
The 1960s and 1970s saw the development of many other counting instruments that could be deployed on research aircraft,
such as cloud condensation nuclei counters, optical particle counters, and cloud spectrometers (Knollenberg, 1981; Schuster
and Knollenberg, 1972; Squires and Twomey, 1966). These in turn facilitated many scientific advances in aerosol–cloud
interactions, in particular cloud brightening in response to anthropogenic emissions (Twomey, 1974).
Widespread monitoring of atmospheric aerosol began in the 1950s, as the quantitative linkages between poor air quality
and adverse health outcomes became established and legislation began to be imposed (Brimblecombe, 1987; Fowler et al.,
2020). This included measurements of mass concentrations and light attenuation of particulate matter collected on filters, but
these early urban measurements are of limited use for climate science. Later, measurements began to incorporate chemical
analysis (Friedlander, 1973) and size-resolved information, greatly facilitated by the development of mobility size spectrometers (Flagan, 1998; Whitby et al., 1972). In the 1980s, monitoring in rural areas started to become more common and
these also included measurements of particle composition and aerosol optical properties (Malm et al., 1994).
As further research was motivated into the role of aerosols in climate (e.g., Charlson et al., 1987, 1992; Penner et al.,
1994), more detailed, climate-oriented in situ measurements took place in the 1990s (e.g., Bates et al., 1998; Raes et al., 2000;
Sheridan et al., 2001). These also included the first measurements of atmospheric new particle formation (Kulmala et al.,
2004). By the end of the twentieth century, chemical composition measurements also reached a new level of maturity, with
the refinement of techniques for the analysis of the carbonaceous fraction, development of semicontinuous analyzers, and
online aerosol mass spectrometry (McMurry, 2000a; Noble and Prather, 2000; Turpin et al., 2000).
The subsequent proliferation and further development of these techniques (Laj et al., 2009) provided evidence of the
importance of organic aerosol in the atmosphere (Hallquist et al., 2009; Heald et al., 2008; Jimenez et al., 2009). Further
innovations in mass spectrometry have facilitated the study of the nucleation process on a fundamental chemical level
(Kulmala et al., 2014) and resolved the molecular composition of the organic fraction at the interface of the gas and particle
phases (Gentner et al., 2012; Heald and Kroll, 2020). In addition, the twenty-first century has seen developments of single
particle instruments for the online detection of black carbon and bio-particles (Huffman et al., 2019; Schwarz et al., 2006),
and improved measurements and understanding of the light-absorbing properties of carbonaceous particles (Bond et al.,
definitions exist; for instance EBAS (Section 9.3.2) defines standard pressure as 1013 hPa. Measurements adjusted to STP often prefix the volume unit with “s,” that is, s cm3 and μg sm3.
Standard concentrations remain constant as temperature and pressure vary. So for a well-mixed
boundary layer, a standard concentration will be the same at all altitudes, whereas the ambient concentration will decrease with altitude. Converting from standard to ambient requires knowledge of temperature and pressure as a function of altitude, so the conditions under which sampling was performed
should also be reported. A conversion between standard and ambient concentration may also need to
consider the partial pressure contribution from water vapor if measurements are made in a particularly
warm and humid environment (e.g., inside a tropical forest canopy).
9.1.1.2 Definitions of particle diameter
Measured particle sizes are typically reported as diameters but this is often an equivalent diameter
according to the measurement technique used. To compare data products or to relate them to a model,
conversions between these different diameters must be applied. The conventions used here are as",https://drive.google.com/link/to/Aerosols_and_Climate.pdf
Aerosols_and_Climate.pdf,377,"Chapter 9 Measurements of ambient aerosol properties
defined by DeCarlo et al. (2004) and the reader is directed there for the physical principles and
derivations.
Volume-equivalent diameter, dv is the most basic definition of particle size and is defined as the
diameter of a sphere with the same volume as the particle in question. This is the basis for most aerosol
models and will be used as the basis for the size definitions here. It is not measured directly by any
instrument, but it can be calculated from the particle mass (mp), which is measurable using instruments
such as aerosol particle mass analyzers (Section 9.1.2.4), provided the particle density (ρp) is known:
sﬃﬃﬃﬃﬃﬃﬃﬃﬃ
The volume and density of the particle must be carefully defined when the particles may contain internal voids, for example, in soot particles.
Electrical mobility diameter, dm is reported by electrical sizing instruments (Section 9.1.2.4). For
spherical particles, dv can be assumed to be equal to dm. When considering nonspherical particles (e.g.,
soot, dust), a dimensionless dynamic shape factor (χ) is introduced, which reflects the increase in aerodynamic drag force relative to a sphere of equivalent volume. This quantity is 1 for spherical particles
and larger than 1 for nonspherical particles (Slowik et al., 2004; Tavakoli and Olfert, 2014). Because
many particle sizes are comparable to the mean free path (λ) of the gas molecules (66 nm in air at STP),
the Cunningham slip correction (Cc) is also included to account for deviations from Stokes’ law (Fuchs,
1964). These combine to form the following relationship:
1 Cc ðdv Þ
χ Cc ðdm Þ
The parameters in Cc(d) are empirically determined, with the NIST-preferred values being α ¼ 1.165,
β ¼ 0.483 and γ ¼ 0.997 (Kim et al., 2005). Explicitly accounting for this during a diameter conversion
requires a numerical solution of the function. While unnecessary for a sphere, the application of this
correction would account for an adjustment of 26% when calculating the dv of a particle with
Aerodynamic diameter, da is reported by instruments such as the Aerosol Particle Sizer
(Section 9.1.2.2), Aerodynamic Aerosol Classifier (Section 9.1.2.4), size-selective inlets
(Section 9.2.1), and cascade impactors (Section 9.1.2.1), which size particles according to their motion
and inertia in accelerating flows. da depends on χ and Cc as well as the density of the particle relative to
a reference value (ρ0), which is conventionally the density of water (1 g cm3). Because atmospheric
aerosol particles usually have a density greater than this (Cross et al., 2007), dv should not routinely be
equated to da. The aerodynamic diameter can be converted to dv as follows:
sﬃﬃﬃﬃﬃﬃﬃﬃﬃﬃﬃﬃﬃﬃﬃﬃﬃﬃﬃﬃﬃ
Cc ðda Þ ρ0 χ
Cc ðdv Þ ρp
Note that χ has the opposite effect on da compared to dm. Because they are often considered in tandem,
ρp divided by χ is often referred to as the “effective density” (ρeff). For a particle of dv ¼ 100 nm and
ρeff ¼ 1.4 g cm3, the ratio of Cc values represents a correction to diameter of approximately 6%, but
this diminishes to 1% for a 1 μm particle, so depending on the accuracy required, this part of the calculation could be omitted for larger particles.",https://drive.google.com/link/to/Aerosols_and_Climate.pdf
Aerosols_and_Climate.pdf,378,"9.1 Measurement principles and instruments
Vacuum aerodynamic diameter, dva is reported by aerosol mass spectrometers (Section 9.1.3.5)
and differs from da because the sizing is performed at a much lower pressure (typically on the order of
102 Pa), where λ is much greater than the particle diameter, therefore the particle drag force behaves
more in line with kinetic theory rather than Stokes’ law. This changes the definition as follows:
dv ¼ dva 0
Note that because χ is an empirical parameter, it is not intrinsically preserved across different pressure
regimes, so may differ between dva and da for a given nonspherical particle.
Optical diameter, do is sometimes referred to in the data products of optical particle counters
(Section 9.1.2.2); however this lacks a fundamental definition because the sizing is dependent on
the geometry of the instrument and the wavelength of light used. A particle’s reported diameter can
vary from dv due to variations in shape and refractive index, but the manner in which it does this will
be instrument-specific.
9.1.1.3 Size distributions
Many instruments report concentrations over a range of particle sizes (Fig. 9.1). It is conventional to
report size distributions as a function of logarithmic diameter. Because of technical limitations and
calibration issues, the specific diameters that instruments detect particles at are irregularly spaced
and are inconsistent between datasets and instruments. To make size distributions comparable, it is
standard practice to report them as a density function, also known as a differential size distribution
d(N(d))/dlog(d), that is, the number of particles per unit volume per log diameter interval of the size
bin (Kulkarni et al., 2011; Seinfeld and Pandis, 2016).
Some instruments report number concentrations within a size bin, so the differential quantity
d(N(d))/dlog(d) is calculated by dividing the number of particles in the bin by the logarithmic difference between the upper and lower bin boundaries, or log(dupper/dlower). The units of d(N(d))/dlog(d) are
the same as for the number concentration within a bin (e.g., cm3), as dlog(d) is dimensionless. Although base 10 logarithms are normally used (and usually specified by databases), natural logarithms
can occur, that is, d(N(d))/dln(d). To convert these to base 10 , they must be multiplied by a factor of
Particle number size distributions can be converted to a particle mass size distribution or d(M(d))/
dlog(d) by weighting each value by (π/6)ρpdcentre, where ρp is the material density (often assumed) and
dcentre is the geometric center of a size bin. This assumes the particles are spherical, so if particle shape
is known, this can also be included. Particle volume and surface area size distributions can also be
generated using their appropriate weightings.
9.1.1.4 Uncertainties, limits of detection, and time resolution
The measurement frequency and the certainty that can be attached to the measurement varies greatly
between the quantities being measured and the technique used. The term “time resolution” is used to
describe the time required to report a measurement. This can be because of the time taken to complete a
scan or the length of time generally required to collect enough material to analyze. However, many of
the instruments here can be described as “real time” measurements with no intrinsic time resolution
limit. Instruments that detect discrete particles, such as those measuring number concentrations, do
not have a fundamental detection limit in terms of the number of particles that must be present; however",https://drive.google.com/link/to/Aerosols_and_Climate.pdf
Aerosols_and_Climate.pdf,379,"Chapter 9 Measurements of ambient aerosol properties
Illustrative size ranges of common measurement techniques used in in situ particle measurements.
Dark gray signifies common size ranges, whereas light gray signifies size ranges of limited capability
or those specific to certain variants.
they may have a detection limit in terms of a minimum size of particle that can be detected
Online and offline are terms used to define at what point a measurement is made. In an online
instrument, the measurement is made in real time and the aerosol sample is not collected, but its properties are measured as it passes through the instrument. An offline measurement means that the aerosol
particles are collected in some way (e.g., on a filter) and analyzed at a later time, for example, in a
laboratory.",https://drive.google.com/link/to/Aerosols_and_Climate.pdf
Aerosols_and_Climate.pdf,380,"9.1 Measurement principles and instruments
The uncertainties associated with specific instruments can be highly complex. Instruments that
count particles follow a stochastic error model whereby the precision associated with a measurement
is proportional to the square root of the number of particles detected (the signal) and thus the signal-tonoise ratio is inversely proportional to this. The signal-to-noise ratio of an individual data point can be
improved by measuring for a longer time period. The uncertainty associated with offline analysis of
composition (Section 9.1.3) can vary greatly between techniques and laboratories. Precision and detection limits for offline analysis can be improved by sampling for longer, using a higher flow rate
sampler and in the case of cascade impactors, using fewer stages. Consequently, where values of detection limit and time resolution are given in this chapter, they should be treated as approximate, as
these may vary with the specifics of the instrument, operational protocol, and the environment they
are operated in. Approximate errors are given in Table 9.1, intended as indicative of typical measurements. Note that some modern networks (e.g., ACTRIS) specify higher tolerances than this, so it is
important to consult the technical documentation of a specific network when using data.
Table 9.1 Typical instruments used for measuring atmospheric aerosol in situ, with approximate
representative performance characteristics
Typical lower
cut diameterb
Indicative
resolution/
Indicative
concentration
APS (APSS)
CCNC (CCN)
(aerodynamic)
Offline analysis
N/A (filters)
Semicontinuous
4 stages per
impactors)
Aerodyne AMS
resolutiona
(DMPS, SMPS,
Instrument
Specification
highly dependent
Continuous flow
instruments can
operate in real
time at fixed SS
Specification
strongly method
Specification
strongly method
Can be run realtime (e.g., for
aircraft or flux",https://drive.google.com/link/to/Aerosols_and_Climate.pdf
Aerosols_and_Climate.pdf,381,"Chapter 9 Measurements of ambient aerosol properties
Table 9.1 Typical instruments used for measuring atmospheric aerosol in situ, with approximate
representative performance characteristics—cont’d
Typical lower
cut diameter
Indicative
resolution/
Indicative
concentration
triggering)
aerodynamic
measurements
(extinction,
scattering
absorption)
Filter-based
absorption
150 nm (total
resolution
Single particle
Instrument
Typically not
quantitative for
mass, semiquantitative for
ACSM, aerosol chemical speciation monitor; AMS, aerosol mass spectrometer; APS, aerosol particle sizer; CCNC, condensation
nucleus counter; CPC, condensation particle counter; MPSS, mobility particle size spectrometer; MS, mass spectrometer; OPC,
optical particle counter; SP2, single particle soot photometer
Longer averaging times may be required in low-concentration environments.
Refer to instrument description for sizing metric used.
9.1.2 Measuring the mass, number, and size of particles
Some of the longest-standing measurements of aerosol particles concern the number or mass concentration, or particle size.
9.1.2.1 Gravimetric and equivalents
The particle mass concentration can be measured by pulling a known air flow rate through a filter over a
defined duration (typically around a day) and comparing the mass of the filter before and after. The
filter should be of a material and porosity that is known to collect 100% of particles at the flow rate
used. By dividing the collected mass by the volume of air sampled, a mass concentration can be
obtained. Because the particulate matter and the filter material may be hygroscopic, it is normal to
condition the filters (e.g., at 20°C, <40% RH) for a day prior to weighing.",https://drive.google.com/link/to/Aerosols_and_Climate.pdf
Aerosols_and_Climate.pdf,382,"9.1 Measurement principles and instruments
If all particles are collected on the filter, this is known as Total Suspended Particulate (TSP), but
often it is preferable to report the mass of “fine” particles smaller than a certain size, as is the case in
health studies. This is normally performed by using a size-selective inlet (Section 9.2.1) ahead of the
sampling device and reported as “PMx,” where “x” (in μm) is the aerodynamic diameter at which 50%
of the particles are removed.
Size-resolved collection is possible using a cascade impactor in which particles are directed through
nozzles and deposited on a perpendicular surface through impaction. Depending on the air velocity,
pressure, and distance between the nozzle and surface, particles above a certain aerodynamic diameter
will attach to the collection surface. By using a sequence of impaction surfaces with progressively
lower distances and narrower nozzles, collection of material as a function of aerodynamic diameter
can be achieved (Berner et al., 1979; Marple et al., 1991). By way of example, the model 110 Micro
Orifice Uniform Deposit Impactor (MOUDI) collects particles over 11 logarithmically spaced stages
between 56 nm and 18 μm at a flow rate of 1.8 m3 h1.
For continuous monitoring, samplers can automatically expose filters according to a programmed
time interval (see Section 9.1.4). For real-time monitoring a Taped Element Oscillating Microbalance
(TEOM) will sense mass accumulation on a substrate through changes in its resonant frequency (Chung
et al., 2001). For semicontinuous measurement (as defined in Section 9.1.3), a beta attenuation monitor
(BAM) measures the reduction of beta radiation penetration through an exposed filter on a strip, which
is proportional to the mass of collected material.
General limitations of this technique are that time resolution is limited to (typically) daily for offline
analysis and hourly for online. While size fractionation is possible using cascade impactors and selective inlets, the amounts of mass present at diameters smaller than 100 nm is generally below detection
limit for gravimetric analysis in most atmospheric situations. Also, some particle components are semivolatile, so may exchange with the gas phase during sampling, handling, or conditioning, creating both
positive and negative artifacts (Hering and Cass, 1999).
9.1.2.2 Optical particle detection
Optical particle counters (OPC), Optical Particle Sizers (OPS), or Optical Particle Size Spectrometers (OPSS) detect particles through scattered light. These measure particles larger than around
200 nm diameter by drawing air into the instrument through an illuminated region (typically using a
laser beam) and detecting the individual particles as pulses of scattered light. In addition to reporting
a number concentration, a size distribution can be generated by measuring the size of the light pulses
(Kulkarni et al., 2011). Because the diameter of the particles is comparable to the wavelength of the
light used, resonances in the scattering function (Chapter 11) introduce inherent ambiguities in the response function of the instrument and therefore limit its sizing resolution (Szymanski and Liu, 1986).
Particle sizes expressed as do (Section 9.1.1.2) are usually calibrated to a traceable test aerosol, but
these are instrument specific and should not be treated as absolutely accurate.
OPCs have a low-diameter limit defined by the detection limit of the detector. The GRIMM model
1.108 portable aerosol spectrometer and TSI model 3330 Optical Particle Spectrophotometer (OPS)
can measure particles larger than 300 nm diameter, whereas the DMT Ultra High Sensitivity Aerosol
Spectrometer (UHSAS) can measure particles as small as 60 nm. OPC data can be used to estimate a
mass concentration (Section 9.1.3.1), but as assumptions must be made concerning shape and refractive
index, this should only be taken as indicative (Binnig et al., 2007).",https://drive.google.com/link/to/Aerosols_and_Climate.pdf
Aerosols_and_Climate.pdf,383,"Chapter 9 Measurements of ambient aerosol properties
Aerodynamic Particle Sizers (APS), or Aerosol Particle Size Spectrometers (APSS) also detect
particles optically but use two light fringes to detect the velocity of particles after a nozzle expansion,
and thus infer their aerodynamic diameters (Section 9.1.1.2). For larger particles (>500 nm diameter),
this is an alternative means of determining diameter that is not subject to the complications associated
with scattering models (Baron, 1986). For smaller particles (>370 nm), they are still capable of optical
counting, but not aerodynamic sizing.
In situ measurements of cloud particles are performed to calibrate and validate remote sensing
products and directly study aerosol–cloud interactions (Baumgardner et al., 2011). Instruments such as
the Forward Scattering Spectroscopy Probe (FSSP) and Cloud Droplet Probe (CDP) are open-path
OPCs optimized for larger particles (>10 μm diameter) and are used to measure the number concentration and size of cloud particles (Brenguier et al., 1994; Faber et al., 2018). By using back- rather than
forward-scattered light, the backscatter cloud probe (BCP) eliminates the need to locate a probe outside
an aircraft’s fuselage, although it is not as accurate (Beswick et al., 2014). Total particle water content
can be measured independently of optical probes using a “hot wire,” where the current required to
maintain a resistively heated surface at a fixed temperature is related to the incident water’s latent heat
of vaporization (King et al., 1978).
The shape of ice and precipitation particles can also be detected by using multichannel detectors
(Baumgardner et al., 2017). These can measure the intensity of scattered light at different angles and/or
polarizations, recording the shadow of a cloud particle on a linear detector array as it passes through a
light curtain, or imaging a particle on a 2D array when it is illuminated by pulsed light source. Many
different instruments of these types exist and are suited to different sizes of cloud or precipitation particles, but examples include the Cloud Imaging Probe (CIP), Two-Dimensional Stereo probe (2D-S),
and Cloud Particle Imager (CPI). Because general-purpose comprehensive characterization is not possible with just one instrument, instruments like the Cloud Aerosol and Precipitation Spectrometer
(CAPS) work by combing multiple cloud sensors (Baumgardner et al., 2001).
9.1.2.3 Condensation particle counters
Condensation particle counters (CPC), or Condensation Nuclei Counters (CNC), use optical scattering to count aerosol particles that have been grown to larger sizes in a supersaturated vapor
(Agarwal and Sem, 1980; McMurry, 2000b). Most systems use butanol vapor to grow the particles
because it readily condenses on most particle types, although some systems use water (Hering
et al., 2005). The diameter at which a CPC detects particles at 50% efficiency is known as the lower
detection efficiency diameter or simply lower cut-off. The cut-off diameter depends on the specific
instrument but is typically between 2 and 10 nm (Sem, 2002), and particles only a few nanometers
larger should be detected with 100% efficiency. Well-maintained and calibrated CPCs have an accuracy of better than 5% and a very high precision in terms of signal-to-noise, as the number of particles
counted tends to be very high.
As a measure of the number concentration of particles, CPCs are regarded as more accurate than
OPCs because their lower cut-off diameter is smaller and better defined, but information concerning
size is lost. It is possible to obtain size-resolved data through the use of CPCs in combination with
diffusion batteries, but this technique is no longer favored (Knutson, 1999). Size-resolved information
can also be obtained by using a combination of CPCs with different cut-offs (Kulmala et al., 2007;
Williamson et al., 2018), which has the ability to delivery real time data, unlike scanned differential
classification (Section 9.1.2.4).",https://drive.google.com/link/to/Aerosols_and_Climate.pdf
